English Text
Biggest
Compare 3 digit numbers
Compare fractions
Counting numbers up to 10
Division
Even or odd
Identify 2-dimensional shapes
Mixed Operations
Move The Character
Multiplication
Rounding to nearest hundred
Subtract with decimals
Symmetry
True or False
What comes between?
Write numbers up to 10
