,ProductName,ProductMRP,DiscountedPrice,BrandId,Avalable_stock
882,B Jain Triticum Repens 30 CH (30ml),85,64,84,493
883,SBL Calcarea Ova Tosta 200 CH (30ml),100,95,3,95
884,Willmar Schwabe India Antimonium Crudum 30 CH (30ml),90,90,2,6
885,SBL Urtica Urens 200 CH (30ml),100,95,3,91
886,Willmar Schwabe India Belladonna 30 CH (30ml),90,90,2,5
887,SBL Antimonium Tartaricum 30 CH (30ml),90,86,3,12
888,SBL Sabina 200 CH (30ml),100,95,3,93
889,SBL Ornithogalum Umbellatum 30 CH (30ml),90,86,3,86
890,Dr. Reckeweg Opium 200 CH (11ml),145,145,1,10
891,Dr. Reckeweg Calcarea Fluoricum 30 CH (11ml),125,125,1,5
892,Dr. Reckeweg Collinsonia Canadensis 200 CH (11ml),145,145,1,383
893,SBL Thuja Occidentalis 6 CH (30ml),90,86,3,42
894,Willmar Schwabe India Avena Sativa 30 CH (30ml),90,90,2,48
895,Willmar Schwabe India Carya Alba 30 CH (30ml),90,90,2,0
896,SBL Nyctanthes Arbortristis 30 CH (30ml),90,86,3,94
897,SBL Kali Carbonicum 200 CH (30ml),100,95,3,41
898,Dr. Reckeweg Arsenic Album CM CH (11ml),255,255,1,7
899,SBL Calcarea Sulphuricum 30 CH (30ml),90,86,3,91
900,Lords Nux Vomica 1M (1000 CH) (30ml),125,94,24,487
901,Willmar Schwabe India Arnica Montana 30 CH (30ml),90,90,2,5
902,SBL Strychninum 30 CH (30ml),90,86,3,96
903,SBL Oleander 6 CH (30ml),90,86,3,95
904,Willmar Schwabe India Onosmodium Virginianum 30 CH (30ml),90,90,2,24
905,Dr. Reckeweg Graphites 10M CH (11ml),200,200,1,467
906,Dr. Reckeweg Teucrium Marum Verum CM CH (11ml),255,255,1,128
907,SBL Acid Aceticum 30 CH (30ml),90,86,3,95
908,SBL Osmium Metallicum 30 CH (30ml),90,86,3,85
909,Dr. Reckeweg Viscum Album 6 CH (11ml),125,125,1,1
910,SBL Lilium Tigrinum 30 CH (30ml),90,86,3,89
911,SBL Baryta Muriaticum 30 CH (30ml),90,86,3,91
912,SBL Coca 200 CH (30ml),95,90,3,4
913,SBL Chrysarobinum 30 CH (30ml),90,86,3,88
914,Dr. Reckeweg Eupatorium Perfoliatum 200 CH (11ml),145,145,1,13
915,Willmar Schwabe India Agnus Castus 6 CH (30ml),90,90,2,5
916,Boiron Lycopodium Clavatum Multi Dose Pellets 30 CH (4g),150,150,265,12
917,Willmar Schwabe India Polyporus Pinicola 200 CH (30ml),105,105,2,79
918,Dr. Reckeweg Iodium 200 CH (11ml),145,145,1,356
919,SBL Hyoscyamus Niger 30 CH (30ml),90,86,3,9
920,Willmar Schwabe India Kalmia Latifolia 30 CH (30ml),90,90,2,12
921,SBL Belladonna 3 CH (30ml),90,86,3,67
922,Dr. Reckeweg Conium Maculatum 30 CH (11ml),125,125,1,186
923,Dr. Reckeweg Agaricus Muscarius 1M (1000 CH) (11ml),180,180,1,470
924,SBL Croton Tiglium 30 CH (30ml),90,86,3,36
925,Haslab Vanadium 30 CH (30ml),70,67,28,33
926,Willmar Schwabe India Usnea Barbata 200 CH (30ml),105,105,2,1
927,Dr. Reckeweg Hydrastis Canadensis 6 CH (11ml),125,111,1,488
928,Dr. Reckeweg Thuja Occidentalis CM CH (11ml),255,255,1,11
929,SBL Antimonium Crudum 200 CH (30ml),100,95,3,11
930,SBL Sarracenia Purpurea 200 CH (30ml),100,80,3,95
931,Willmar Schwabe India Zincum Picricum 1M (1000 CH) (30ml),120,120,2,1
932,SBL Cocculus Indicus 30 CH (30ml),90,86,3,90
933,SBL Cantharis 200 CH (30ml),100,95,3,35
934,SBL Fragaria Vesca 30 CH (30ml),90,72,3,91
935,Willmar Schwabe India Bryonia Alba 1M (1000 CH) (30ml),120,120,2,6
936,SBL Belladonna 1M (1000 CH) (30ml),135,128,3,90
937,Dr. Reckeweg Plumbum Metallicum 1M (1000 CH) (11ml),180,180,1,464
938,SBL Iodium 30 CH (30ml),90,86,3,6
939,Willmar Schwabe India Natrum muriaticum 200 CH (30ml),105,105,2,12
940,SBL Natrum Carbonicum 30 CH (30ml),90,86,3,5
941,Willmar Schwabe India Laburnum Anagyroides 30 CH (30ml),90,90,2,1
942,SBL Camphora Monobromata 30 CH (30ml),90,86,3,93
943,Willmar Schwabe India Acid Phosphoricum 30 CH (30ml),90,90,2,500
944,SBL Bovista 6 CH (30ml),90,86,3,88
945,Dr. Reckeweg Teucrium Marum Verum 10M CH (11ml),200,200,1,187
946,SBL Natrum Phosphoricum 30 CH (30ml),85,81,3,9
947,Willmar Schwabe India Hepar Sulphur 6 CH (30ml),90,90,2,37
948,Willmar Schwabe India Rosmarinus Officinalis 30 CH (30ml),90,90,2,7
949,Dr. Reckeweg Jaborandi 30 CH (11ml),125,125,1,157
950,Willmar Schwabe India Candida Albicans 200 CH (30ml),105,105,2,5
951,Dr. Reckeweg Calcarea Fluoricum 6 CH (11ml),125,125,1,428
952,Dr. Reckeweg Arnica Montana 6 CH (11ml),125,125,1,145
953,SBL Arsenic Sulphuratum Flavum 200 CH (30ml),95,90,3,5
954,Dr. Reckeweg Calcarea Carbonicum CM CH (11ml),255,255,1,451
955,Dr. Reckeweg Nux Vomica CM CH (11ml),255,255,1,453
956,SBL Natrum Muriaticum 1M (1000 CH) (30ml),135,104,3,12
957,SBL Phosphorus 30 CH (30ml),85,81,3,35
958,Willmar Schwabe India Staphysagria 30 CH (30ml),90,90,2,49
959,Willmar Schwabe India Cimicifuga Racemosa 30 CH (30ml),90,90,2,4
960,Dr. Reckeweg Colchicum 30 CH (11ml),125,125,1,81
961,B Jain Euphrasia Officinalis 30 CH (30ml),85,77,84,477
962,SBL Viscum Album 6 CH (30ml),90,86,3,37
963,Willmar Schwabe India Podophyllum Peltatum 30 CH (30ml),90,90,2,5
964,SBL Ginkgo Biloba 1M (1000 CH) (30ml),135,128,3,41
965,Willmar Schwabe India Fagopyrum Esculentum 30 CH (30ml),90,90,2,39
966,B Jain Adamas (Diamond dust) 200 CH (30ml),95,86,84,100
967,SBL Ferrum Metallicum 30 CH (30ml),90,86,3,33
968,Similia India Nux Vomica 200 CH (30ml),100,75,288,485
969,SBL Phosphorus 6 CH (30ml),90,72,3,94
970,SBL Nux Vomica 1M (1000 CH) (30ml),135,128,3,91
971,SBL Ledum Palustre 6 CH (30ml),90,86,3,95
972,B Jain Thuja Occidentalis 200 CH (30ml),95,86,84,401
973,SBL Naphthalinum 30 CH (30ml),90,86,3,95
974,B Jain Ruta Graveolens 6X (30ml),110,99,84,492
975,SBL Astacus Fluviatilis 30 CH (30ml),90,86,3,42
976,SBL Convallaria Majalis 200 CH (30ml),100,80,3,95
977,SBL Passiflora Incarnata 1M (1000 CH) (30ml),135,128,3,45
978,Willmar Schwabe India Rhus toxicodendron 6 CH (30ml),90,90,2,48
979,Bakson Hippozaeninum 30 CH (30ml),100,90,6,6
