Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1283.500000,1283.500000,1270.500000,1272.780029,1089.075073,366830
2015-01-02,1275.500000,1295.469971,1275.300049,1289.719971,1103.570190,925740
2015-01-05,1290.500000,1299.949951,1262.319946,1270.119995,1086.799072,1754242
2015-01-06,1264.550049,1264.550049,1220.000000,1223.300049,1046.736816,2423784
2015-01-07,1235.000000,1239.569946,1203.719971,1208.849976,1034.372314,2636332
2015-01-08,1221.199951,1224.500000,1210.280029,1221.900024,1045.538940,1565408
2015-01-09,1227.500000,1259.949951,1225.000000,1256.150024,1074.845459,3197642
2015-01-12,1258.500000,1264.000000,1240.119995,1254.849976,1073.732910,1596006
2015-01-13,1260.000000,1265.199951,1240.050049,1248.949951,1068.684570,1468432
2015-01-14,1258.000000,1265.900024,1250.250000,1260.969971,1078.969727,1787096
2015-01-15,1266.500000,1290.880005,1261.619995,1269.550049,1086.311523,5009920
2015-01-16,1271.849976,1272.500000,1242.150024,1266.069946,1083.333374,5293830
2015-01-19,1268.000000,1275.500000,1251.500000,1255.500000,1074.289185,1135074
2015-01-20,1260.000000,1265.000000,1241.619995,1250.219971,1069.771484,2058566
2015-01-21,1261.000000,1261.000000,1244.119995,1256.900024,1075.487183,2310480
2015-01-22,1258.250000,1260.619995,1247.750000,1256.780029,1075.384521,2113214
2015-01-23,1257.000000,1266.030029,1248.050049,1251.800049,1071.123169,3150380
2015-01-27,1256.180054,1257.500000,1244.780029,1251.030029,1074.756836,2738736
2015-01-28,1251.500000,1272.449951,1251.449951,1269.800049,1090.882202,3121980
2015-01-29,1269.000000,1284.349976,1256.449951,1272.319946,1093.047241,3734392
2015-01-30,1280.349976,1287.500000,1235.000000,1241.030029,1066.166382,5817402
2015-02-02,1241.000000,1260.719971,1231.030029,1257.099976,1079.971924,3181802
2015-02-03,1255.819946,1282.500000,1253.550049,1279.119995,1098.889404,2345054
2015-02-04,1284.000000,1285.849976,1251.050049,1257.150024,1080.015015,2245418
2015-02-05,1260.000000,1295.849976,1259.500000,1276.199951,1096.380493,4530168
2015-02-06,1276.500000,1297.400024,1275.430054,1287.880005,1106.415283,2136416
2015-02-09,1280.750000,1284.550049,1250.000000,1256.449951,1079.413452,2076432
2015-02-10,1255.000000,1263.119995,1216.500000,1220.569946,1048.589111,3799054
2015-02-11,1227.530029,1243.619995,1223.619995,1229.949951,1056.647461,2937522
2015-02-12,1239.900024,1239.900024,1223.500000,1231.069946,1057.609375,3107980
2015-02-13,1235.000000,1273.880005,1230.119995,1269.380005,1090.521729,4158326
2015-02-16,1280.000000,1297.500000,1277.500000,1292.400024,1110.298340,2364392
2015-02-18,1292.530029,1321.500000,1282.619995,1317.819946,1132.136108,2660014
2015-02-19,1318.000000,1343.650024,1317.500000,1340.530029,1151.646729,2618002
2015-02-20,1349.400024,1349.400024,1321.119995,1337.780029,1149.284058,1801588
2015-02-23,1335.500000,1361.000000,1335.500000,1348.319946,1158.338745,1614892
2015-02-24,1347.000000,1365.000000,1339.500000,1352.380005,1161.826660,2199922
2015-02-25,1355.000000,1361.000000,1333.930054,1336.099976,1147.840576,1767994
2015-02-26,1339.500000,1346.380005,1312.680054,1328.219971,1141.070801,1991994
2015-02-27,1329.719971,1337.880005,1308.150024,1331.180054,1143.614014,2877376
2015-02-28,null,null,null,null,null,null
2015-03-02,1339.849976,1354.469971,1326.280029,1334.699951,1146.637939,2176038
2015-03-03,1341.000000,1395.000000,1338.069946,1388.000000,1192.427979,3424308
2015-03-04,1394.000000,1406.050049,1357.819946,1373.000000,1179.541260,3862994
2015-03-05,1375.000000,1385.349976,1340.530029,1348.219971,1158.253052,2173514
2015-03-09,1320.000000,1339.900024,1305.000000,1323.400024,1136.930176,2883174
2015-03-10,1324.449951,1339.119995,1297.619995,1321.349976,1135.168823,3037052
2015-03-11,1321.000000,1329.969971,1298.900024,1303.280029,1119.645264,2240200
2015-03-12,1311.949951,1312.449951,1295.050049,1309.530029,1125.014648,1827636
2015-03-13,1319.000000,1319.969971,1287.500000,1291.180054,1109.250000,1586838
2015-03-16,1292.599976,1305.000000,1276.000000,1281.150024,1100.633545,1556296
2015-03-17,1291.250000,1303.349976,1278.880005,1291.849976,1109.825317,1267318
2015-03-18,1295.469971,1299.719971,1275.849976,1279.680054,1099.370483,1255170
