,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
0,,,,,,,18,4,0.6363646363636364,41.45193035579107,0.09070211962939966,16.617052990168187,149,78605,17,0,0.00022899306659881688,5.0887348133070415e-05,0.00021627122956554927,0.0,
1,,,,,,,18,4,0.6363646363636364,43.28365384615385,0.13791699063275203,17.36862833471464,149,50916,17,0,0.0003535234503888758,7.85607667530835e-05,0.0003338832587006049,0.0,
2,,,,,,,18,4,0.6363646363636364,40.95,18.192918192918192,23.65716727716728,149,438,17,0,0.0410958904109589,0.0091324200913242,0.03881278538812785,0.0,
3,,,,,,,18,4,0.6363646363636364,31.86876006441224,0.18822162148505595,12.82279267435892,149,40037,17,0,0.0004495841346754252,9.990758548342783e-05,0.00042460723830456827,0.0,
4,,,,,,,18,4,0.6363646363636364,41.2,14.466019417475728,22.266407766990294,149,533,17,0,0.03377110694183865,0.0075046904315197,0.03189493433395872,0.0,
5,,,,,,,18,4,0.6363646363636364,31.155650319829423,1.019709827539009,12.870144058947373,149,7981,17,0,0.0022553564716200976,0.0005011903270266884,0.0021300588898634258,0.0,
6,,,,,,,18,4,0.6363646363636364,34.04933333333334,0.5834671261307123,13.85312018378562,149,13269,17,0,0.0013565453312231518,0.0003014545180495893,0.0012811817017107543,0.0,
7,,,,,,,18,4,0.6363646363636364,30.816901408450704,0.9728388613214938,12.71589610790888,149,8443,17,0,0.0021319436219353312,0.00047376524931896246,0.0020135023096055906,0.0,
8,,,,,,,18,4,0.6363646363636364,41.21739130434783,15.717299578059071,22.77387635296276,149,505,17,0,0.03564356435643564,0.007920792079207921,0.033663366336633666,0.0,
9,,,,,,,18,4,0.6363646363636364,30.90308370044053,0.19309272338495434,12.438470569530194,149,40592,17,0,0.00044343713046905795,9.854158454867954e-05,0.00041880173433188805,0.0,
10,,,,,,,18,4,0.6363646363636364,43.54545454545455,15.553235908141962,23.639476181438607,149,503,17,0,0.03578528827037773,0.007952286282306162,0.033797216699801194,0.0,
11,,,,,,,18,4,0.6363646363636364,30.8372591006424,1.034650371501979,12.748763788857751,149,7895,17,0,0.002279924002533249,0.000506649778340722,0.0021532615579480685,0.0,
12,,,,,,,18,4,0.6363646363636364,44.1,16.89342403628118,24.397369614512474,149,471,17,0,0.03821656050955414,0.008492569002123142,0.036093418259023353,0.0,
13,,,,,,,18,4,0.6363646363636364,29.762690355329948,0.6353131795505905,12.159201413952216,149,12600,17,0,0.0014285714285714286,0.00031746031746031746,0.0013492063492063493,0.0,
14,,,,,,,18,4,0.6363646363636364,30.021470746108427,0.26640443411407116,12.115150072089001,149,31053,17,0,0.0005796541396966477,0.00012881203104369947,0.0005474511319357228,0.0,
15,,,,,,,18,4,0.6363646363636364,29.774231678487,0.5915280479574417,12.146303890577776,149,13520,17,0,0.0013313609467455621,0.0002958579881656805,0.001257396449704142,0.0,
16,,,,,,,18,4,0.6363646363636364,31.073469387755104,0.6523928368142213,12.690344889827731,149,12195,17,0,0.0014760147601476014,0.00032800328003280033,0.0013940139401394014,0.0,
