,urls,pageviews,users,new_users,returning_users,clean_url
323,https://Money/BnwoF7nQJfFA4llR9ktkFL/What-you-need-to-know-before-taking-an-education-loan.html?facet=amp,4,4,1,3,money/BnwoF7nQJfFA4llR9ktkFL/What-you-need-to-know-before-taking-an-education-loan.html?facet=amp
324,https://Money/RT7ECufnnRzCxDjWU34zMP/Are-celebs-responsible-for-the-investments-they-endorse.html?facet=amp,4,3,2,1,money/RT7ECufnnRzCxDjWU34zMP/Are-celebs-responsible-for-the-investments-they-endorse.html?facet=amp
325,https://Money/ihlm1NpnA3yZpbBHUnNxHP/Shortterm-capital-gains-tax-applies-if-you-sell-the-shares.html?facet=amp,4,3,1,2,money/ihlm1NpnA3yZpbBHUnNxHP/Shortterm-capital-gains-tax-applies-if-you-sell-the-shares.html?facet=amp
326,https://Multimedia/Nl2thJvsNbktoiHCIpPh8J/Chacha-Nehru-and-his-furry-friends.html?facet=amp,4,3,0,3,multimedia/Nl2thJvsNbktoiHCIpPh8J/Chacha-Nehru-and-his-furry-friends.html?facet=amp
327,https://Opinion/M2I4UZdoN9ia2KJMWfP4RK/Confucius-on-trading-with-China.html,4,3,3,0,opinion/M2I4UZdoN9ia2KJMWfP4RK/Confucius-on-trading-with-China.html
328,https://Opinion/mF6QseomYZNcvZuUhyNDKI/Biofuels-an-opportunity-for-India.html,4,3,3,0,opinion/mF6QseomYZNcvZuUhyNDKI/Biofuels-an-opportunity-for-India.html
329,https://Politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600,4,3,0,3,politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600
330,https://Politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600,4,3,0,3,politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600
331,https://Politics/HkujNa0LphyCVSoqFFIEWK/Five-charts-that-explain-the-crisis-in-the-Kerala-economy.html?facet=amp,4,4,2,2,politics/HkujNa0LphyCVSoqFFIEWK/Five-charts-that-explain-the-crisis-in-the-Kerala-economy.html?facet=amp
332,https://Politics/ar1HGDFjvssPzaInLt4ZZK/Why-are-Indian-farmers-taking-to-horticulture.html,4,4,2,2,politics/ar1HGDFjvssPzaInLt4ZZK/Why-are-Indian-farmers-taking-to-horticulture.html
333,https://Politics/uNG9gJVysAolCNjYNW9XlI/What-is-the-Specific-Relief-Act-and-why-does-the-govt-want-t.html?facet=amp,4,4,4,0,politics/uNG9gJVysAolCNjYNW9XlI/What-is-the-Specific-Relief-Act-and-why-does-the-govt-want-t.html?facet=amp
334,https://Search/Link/Keyword/India-Investment,4,4,1,3,search/Link/Keyword/India-Investment
335,https://Search/Link/Keyword/loan-moratorium,4,3,0,3,search/Link/Keyword/loan-moratorium
336,https://Technology/ACHEI1t6mB34c4xM5DiTsN/The-top-five-trends-in-Indias-digital-payment-landscape.html,4,4,3,1,technology/ACHEI1t6mB34c4xM5DiTsN/The-top-five-trends-in-Indias-digital-payment-landscape.html
337,https://auto-news/first-mahindra-thar-2020-delivered-here-s-what-is-special-about-it/amp-11604325840823.html,4,4,4,0,https://auto-news/first-mahindra-thar-2020-delivered-here-s-what-is-special-about-it/amp
338,https://brand-stories/how-does-the-workplace-of-the-future-look-like-11584713699808.html,4,3,0,3,https://brand-stories/how-does-the-workplace-of-the-future-look-like
339,https://companies/news/adani-power-board-approves-rs-3-264-crore-delisting-plan/amp-11592829821565.html,4,4,0,4,https://companies/news/adani-power-board-approves-rs-3-264-crore-delisting-plan/amp
340,https://companies/news/brookfield-gic-buy-reliance-jio-s-telecom-tower-assets-for-rs-25-000-crore-11598932634932.html,4,4,3,1,https://companies/news/brookfield-gic-buy-reliance-jio-s-telecom-tower-assets-for-rs-25-000-crore
341,https://companies/news/dr-reddy-s-gets-dcgi-nod-to-conduct-clinical-trial-for-sputnik-v-vaccine-in-india-11602932255342.html,4,4,1,3,https://companies/news/dr-reddy-s-gets-dcgi-nod-to-conduct-clinical-trial-for-sputnik-v-vaccine-in-india
342,https://companies/news/india-s-skilling-firms-have-entered-the-icu/amp-11601908363753.html,4,4,3,1,https://companies/news/india-s-skilling-firms-have-entered-the-icu/amp
343,https://companies/news/multiplex-operator-inox-leisure-raises-rs-250-crore-through-qip-11605251148224.html,4,4,2,2,https://companies/news/multiplex-operator-inox-leisure-raises-rs-250-crore-through-qip
344,https://companies/news/ril-appoints-former-indian-oil-chairman-sanjiv-singh-as-group-president/amp-11598437071251.html,4,4,1,3,https://companies/news/ril-appoints-former-indian-oil-chairman-sanjiv-singh-as-group-president/amp
345,https://companies/news/uncertainty-over-fds-in-dhfl-s-resolution/amp-11605056419960.html,4,4,1,3,https://companies/news/uncertainty-over-fds-in-dhfl-s-resolution/amp
346,https://companies/people/ajay-tyagi-gets-an-extension-of-18-months-as-sebi-chief/amp-11596634912323.html,4,4,2,2,https://companies/people/ajay-tyagi-gets-an-extension-of-18-months-as-sebi-chief/amp
347,https://companies/start-ups/deepika-padukone-invests-in-maker-of-epigamia-yogurt/amp-1557771851043.html,4,4,1,3,companies/start-ups/deepika-padukone-invests-in-maker-of-epigamia-yogurt/amp-1557771851043.html
348,https://companies/start-ups/two-wheeler-rental-firm-bounce-looks-to-ride-into-smaller-cities/amp-1562781545404.html,4,4,3,1,companies/start-ups/two-wheeler-rental-firm-bounce-looks-to-ride-into-smaller-cities/amp-1562781545404.html
349,https://industry/advertising/virat-kohli-rishabh-pant-to-endorse-himalaya-men-face-care-range/amp-1557993471656.html,4,3,3,0,industry/advertising/virat-kohli-rishabh-pant-to-endorse-himalaya-men-face-care-range/amp-1557993471656.html
350,https://industry/banking/loan-defaults-hit-nbfcs-fintech-firms-the-hardest/amp-11605574486543.html?__twitter_impression=true&s=09,4,4,1,3,https://industry/banking/loan-defaults-hit-nbfcs-fintech-firms-the-hardest/amp-11605574486543.html?__twitter_impression=true&s=09
351,https://industry/energy/govt-cuts-gas-price-by-25-to-lowest-on-record/amp-11601472586101.html,4,3,0,3,https://industry/energy/govt-cuts-gas-price-by-25-to-lowest-on-record/amp
352,https://industry/manufacturing/tesla-s-entry-may-electrify-ev-sector/amp-11602030792518.html,4,3,2,1,https://industry/manufacturing/tesla-s-entry-may-electrify-ev-sector/amp
353,https://industry/retail/tata-group-is-building-an-indian-zara-where-everything-is-cheaper/amp-1561346476864.html,4,4,2,2,industry/retail/tata-group-is-building-an-indian-zara-where-everything-is-cheaper/amp-1561346476864.html
354,https://insurance/news/life-insurance-policy-grace-period-for-premium-payment-extended-further/amp-11589105800386.html,4,4,2,2,https://insurance/news/life-insurance-policy-grace-period-for-premium-payment-extended-further/amp
355,https://market/ipo/shanghai-stock-exchange-suspends-ant-group-s-a-share-ipo/amp-11604412338257.html,4,3,1,2,https://market/ipo/shanghai-stock-exchange-suspends-ant-group-s-a-share-ipo/amp
356,https://market/mark-to-market/sbi-life-delivers-on-growth-metrics-but-profitability-underwhelms-11603773813425.html,4,4,0,4,https://market/mark-to-market/sbi-life-delivers-on-growth-metrics-but-profitability-underwhelms
357,https://market/stock-market-news/dow-slumps-over-360-pts-on-rising-coronavirus-cases-fading-stimulus-hopes-11603721300802.html,4,2,0,2,https://market/stock-market-news/dow-slumps-over-360-pts-on-rising-coronavirus-cases-fading-stimulus-hopes
358,https://market/stock-market-news/sensex-breaches-44-000-mark-as-vaccine-optimism-leads-markets-to-new-high/amp-11605590714000.html,4,4,2,2,https://market/stock-market-news/sensex-breaches-44-000-mark-as-vaccine-optimism-leads-markets-to-new-high/amp
359,https://mint-lounge/features/70-years-of-1984-digital-dystopia-in-the-world-of-video-games-1561712668284.html,4,2,1,1,mint-lounge/features/70-years-of-1984-digital-dystopia-in-the-world-of-video-games-1561712668284.html
360,https://mint-lounge/features/priyamvada-gopal-s-white-lives-tweet-matters-here-s-why-11593512962676.html,4,3,2,1,https://mint-lounge/features/priyamvada-gopal-s-white-lives-tweet-matters-here-s-why
361,https://money/personal-finance/a-daughter-has-an-equal-right-to-that-of-a-son-on-ancestral-property-11598979896164.html,4,4,1,3,https://money/personal-finance/a-daughter-has-an-equal-right-to-that-of-a-son-on-ancestral-property
